time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2024-07-30,15.4,0.00,0.00,3.81
2024-07-31,14.8,0.00,0.00,3.40
2024-08-01,15.4,0.00,0.00,4.30
2024-08-02,15.6,0.00,0.00,4.94
2024-08-03,16.3,0.00,0.00,4.02
2024-08-04,15.1,0.00,0.00,4.30
2024-08-05,15.3,0.00,0.00,4.16
2024-08-06,15.9,0.00,0.00,4.22
2024-08-07,15.8,0.00,0.00,4.79
2024-08-08,15.9,0.00,0.00,4.71
2024-08-09,16.3,0.00,0.00,4.63
2024-08-10,15.9,0.00,0.00,4.79
2024-08-11,15.8,0.00,0.00,4.00
2024-08-12,16.1,0.00,0.00,3.83
2024-08-13,16.5,0.00,0.00,4.88
2024-08-14,15.3,0.40,0.00,4.03
2024-08-15,17.1,0.00,0.00,5.55
2024-08-16,15.8,0.00,0.00,6.09
2024-08-17,15.3,0.00,0.00,7.43
2024-08-18,15.5,0.30,0.00,7.70
2024-08-19,15.1,0.10,0.00,7.96
2024-08-20,13.8,0.10,0.00,6.86
2024-08-21,14.0,0.10,0.00,8.24
2024-08-22,14.8,0.40,0.00,5.61
2024-08-23,16.3,0.00,0.00,4.95
2024-08-24,14.7,0.00,0.00,5.82
2024-08-25,13.0,0.00,0.00,5.46
2024-08-26,14.1,0.00,0.00,5.35
2024-08-27,15.4,0.00,0.00,5.25
2024-08-28,15.2,0.00,0.00,5.73
2024-08-29,15.5,0.00,0.00,4.96
2024-08-30,15.6,0.50,0.00,4.67
2024-08-31,16.0,0.00,0.00,4.66
2024-09-01,15.7,2.70,0.00,4.32
2024-09-02,16.2,0.30,0.00,3.69
2024-09-03,16.8,9.60,0.00,3.61
2024-09-04,15.8,3.20,0.00,4.17
2024-09-05,15.8,8.00,0.00,5.50
2024-09-06,16.7,0.00,0.00,5.27
2024-09-07,17.0,0.00,0.00,4.49
2024-09-08,16.9,0.00,0.00,4.69
2024-09-09,17.9,0.00,0.00,4.44
2024-09-10,17.8,0.00,0.00,4.63
2024-09-11,18.3,0.00,0.00,4.36
2024-09-12,19.6,0.00,0.00,5.90
2024-09-13,18.7,0.00,0.00,5.66
2024-09-14,16.9,0.00,0.00,5.37
2024-09-15,17.1,0.00,0.00,4.85
2024-09-16,17.0,0.00,0.00,5.14
2024-09-17,17.7,0.00,0.00,4.94
2024-09-18,18.8,0.00,0.00,5.02
2024-09-19,19.5,0.00,0.00,5.26
2024-09-20,18.9,0.00,0.00,4.71
2024-09-21,17.5,0.00,0.00,4.10
2024-09-22,19.2,0.00,0.00,4.55
2024-09-23,19.0,0.00,0.00,5.24
2024-09-24,18.6,0.00,0.00,4.71
2024-09-25,18.1,0.00,0.00,5.20
2024-09-26,18.1,0.00,0.00,4.81
2024-09-27,18.3,0.00,0.00,4.87
2024-09-28,19.7,0.00,0.00,4.86
2024-09-29,20.3,0.00,0.00,4.71
2024-09-30,19.6,0.00,0.00,5.20
2024-10-01,21.0,0.00,0.00,5.46
2024-10-02,19.9,0.00,0.00,5.83
2024-10-03,18.0,0.70,0.00,6.10
2024-10-04,15.2,0.00,0.00,7.17
2024-10-05,14.5,0.00,0.00,5.97
2024-10-06,17.0,2.20,0.00,4.46
2024-10-07,18.5,0.00,0.00,5.34
2024-10-08,19.1,0.00,0.00,6.25
2024-10-09,18.0,0.00,0.00,5.43
2024-10-10,17.1,0.00,0.00,5.98
2024-10-11,16.8,0.00,0.00,6.56
2024-10-12,17.6,0.00,0.00,6.09
2024-10-13,16.9,0.00,0.00,5.69
2024-10-14,17.2,0.00,0.00,4.80
2024-10-15,19.8,0.00,0.00,5.45
2024-10-16,20.5,0.00,0.00,4.89
2024-10-17,19.7,0.00,0.00,5.61
2024-10-18,19.9,4.00,0.00,3.75
2024-10-19,19.8,2.70,0.00,3.89
2024-10-20,20.2,0.80,0.00,3.85
2024-10-21,19.4,0.30,0.00,5.19
2024-10-22,18.1,0.00,0.00,7.18
2024-10-23,18.1,0.00,0.00,6.05
2024-10-24,18.7,0.00,0.00,5.50
2024-10-25,20.1,0.00,0.00,3.67
2024-10-26,21.4,0.00,0.00,5.34
2024-10-27,21.8,0.00,0.00,5.65
2024-10-28,21.9,1.40,0.00,4.91
2024-10-29,21.8,0.00,0.00,4.96
2024-10-30,21.1,0.00,0.00,4.90
2024-10-31,21.8,0.00,0.00,5.15
2024-11-01,22.1,0.00,0.00,5.00
2024-11-02,22.5,0.80,0.00,5.27
2024-11-03,21.5,0.10,0.00,4.70
2024-11-04,22.0,0.10,0.00,5.52
2024-11-05,21.6,1.80,0.00,3.61
2024-11-06,21.4,0.10,0.00,4.71
2024-11-07,20.8,0.00,0.00,5.66
2024-11-08,21.0,0.00,0.00,6.25
2024-11-09,21.6,0.00,0.00,4.30
2024-11-10,22.6,0.00,0.00,5.10
2024-11-11,22.6,1.30,0.00,4.20
2024-11-12,22.7,0.00,0.00,4.89
2024-11-13,21.7,0.00,0.00,4.85
2024-11-14,22.3,0.00,0.00,5.44
2024-11-15,21.0,0.00,0.00,5.03
2024-11-16,21.8,0.00,0.00,5.37
2024-11-17,22.4,0.10,0.00,4.76
2024-11-18,22.7,0.00,0.00,5.39
2024-11-19,21.6,0.30,0.00,5.65
2024-11-20,20.5,0.00,0.00,6.35
2024-11-21,21.8,0.00,0.00,6.70
2024-11-22,23.0,1.90,0.00,4.61
2024-11-23,21.6,20.80,0.00,3.14
2024-11-24,21.1,17.00,0.00,3.91
2024-11-25,21.7,0.30,0.00,3.98
2024-11-26,21.1,2.00,0.00,3.97
2024-11-27,20.9,0.10,0.00,4.58
2024-11-28,21.8,0.60,0.00,3.26
2024-11-29,20.7,19.70,0.00,2.60
2024-11-30,19.9,30.30,0.00,4.71
2024-12-01,18.6,5.40,0.00,4.41
2024-12-02,19.4,21.40,0.00,3.78
2024-12-03,20.2,12.40,0.00,3.31
2024-12-04,20.6,4.50,0.00,3.28
2024-12-05,21.0,0.00,0.00,4.88
2024-12-06,20.7,0.00,0.00,4.44
2024-12-07,20.5,0.00,0.00,3.93
2024-12-08,21.4,0.00,0.00,5.36
2024-12-09,20.9,0.00,0.00,5.05
2024-12-10,21.0,0.00,0.00,4.65
2024-12-11,20.4,0.00,0.00,4.30
2024-12-12,21.2,0.20,0.00,5.36
2024-12-13,21.4,0.20,0.00,4.42
2024-12-14,22.3,0.10,0.00,5.45
2024-12-15,21.9,0.10,0.00,5.18
2024-12-16,21.0,0.00,0.00,4.20
2024-12-17,21.5,0.00,0.00,4.58
2024-12-18,21.8,0.00,0.00,4.80
2024-12-19,22.2,0.00,0.00,4.91
2024-12-20,24.0,0.00,0.00,5.60
2024-12-21,23.2,0.00,0.00,4.96
2024-12-22,22.1,0.00,0.00,5.04
2024-12-23,22.5,0.00,0.00,4.40
2024-12-24,23.7,0.70,0.00,3.47
2024-12-25,24.0,0.30,0.00,4.35
2024-12-26,22.7,0.30,0.00,4.39
2024-12-27,21.6,12.60,0.00,5.27
2024-12-28,19.8,5.90,0.00,3.85
2024-12-29,19.8,8.80,0.00,1.50
2024-12-30,19.4,27.10,0.00,3.98
2024-12-31,20.1,8.60,0.00,5.07
